date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2/7/2021,Johor,6665,2543,9208,465851,259132,724983
3/7/2021,Johor,4090,8155,12245,469941,267287,737228
4/7/2021,Johor,3753,11001,14754,473694,278288,751982
5/7/2021,Johor,6873,12302,19175,480567,290590,771157
6/7/2021,Johor,8265,10172,18437,488832,300762,789594
7/7/2021,Johor,8727,14146,22873,497559,314908,812467
8/7/2021,Johor,11704,11886,23590,509263,326794,836057
9/7/2021,Johor,11420,4075,15495,520683,330869,851552
10/7/2021,Johor,19657,6400,26057,540340,337269,877609
11/7/2021,Johor,13528,5714,19242,553868,342983,896851
12/7/2021,Johor,16468,5415,21883,570336,348398,918734
13/7/2021,Johor,16932,6071,23003,587268,354469,941737
14/7/2021,Johor,15668,5835,21503,602936,360304,963240
15/7/2021,Johor,23425,7000,30425,626361,367304,993665
16/7/2021,Johor,13516,4368,17884,639877,371672,1011549
17/7/2021,Johor,18943,3247,22190,658820,374919,1033739
18/7/2021,Johor,15686,1454,17140,674506,376373,1050879
19/7/2021,Johor,22882,3970,26852,697388,380343,1077731
20/7/2021,Johor,25731,2319,28050,723119,382662,1105781
21/7/2021,Johor,35145,3636,38781,758264,386298,1144562
